Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Encoded_Category,Bevg_Prep,cafe_numic
100,1,0.5,0.0,5,70,17,0,15,6.0,0.1,0.0,0.15,0.0,6,5,29
120,4,2.0,0.1,15,80,16,0,15,5.0,0.1,0.0,0.15,0.0,6,0,29
100,3,1.0,0.0,0,60,14,1,11,4.0,0.06,0.0,0.15,0.08,6,7,29
140,1,0.5,0.0,5,105,25,0,24,8.0,0.15,0.0,0.25,0.0,6,9,29
180,5,3.0,0.1,20,115,25,0,23,8.0,0.15,0.0,0.25,0.0,6,0,29
150,4.5,1.0,0.0,0,90,21,1,17,7.0,0.1,0.0,0.25,0.1,6,7,29
190,1,1.0,0.0,10,130,35,0,32,11.0,0.2,0.0,0.35,0.0,6,3,11
240,7,3.5,0.2,25,150,34,0,32,10.0,0.15,0.02,0.3,0.0,6,0,11
200,5,1.0,0.0,5,115,29,1,24,9.0,0.1,0.0,0.35,0.15,6,7,11
240,1,1.0,0.0,10,170,43,0,41,13.0,0.25,0.0,0.4,0.0,6,11,11
300,8,4.5,0.2,35,180,43,0,40,13.0,0.2,0.02,0.4,0.0,6,0,11
250,7,1.5,0.0,5,140,36,1,31,11.0,0.15,0.0,0.4,0.2,6,7,11
180,3,2.0,0.0,5,120,31,0,29,7.0,0.1,0.0,0.25,0.0,6,5,29
200,6,3.5,0.1,15,125,31,0,29,7.0,0.08,0.02,0.25,0.0,6,0,29
180,5,2.5,0.0,0,110,28,1,25,6.0,0.06,0.0,0.25,0.08,6,7,29
270,4.5,3.5,0.0,5,190,47,0,45,12.0,0.15,0.02,0.35,0.0,6,9,29
310,9,6.0,0.1,20,200,46,0,44,11.0,0.15,0.02,0.35,0.0,6,0,29
280,8,3.5,0.0,0,170,42,1,39,10.0,0.1,0.02,0.35,0.1,6,7,29
350,6,4.5,0.0,10,240,61,0,58,15.0,0.2,0.02,0.45,0.02,6,3,11
400,11,7.0,0.2,25,250,61,0,58,15.0,0.15,0.02,0.45,0.0,6,0,11
370,10,5.0,0.0,0,220,56,1,51,13.0,0.1,0.02,0.45,0.15,6,7,11
450,7,6.0,0.0,10,310,78,0,74,19.0,0.25,0.02,0.6,0.02,6,11,11
510,15,9.0,0.2,35,330,77,0,74,19.0,0.2,0.04,0.6,0.02,6,0,11
460,13,6.0,0.0,5,290,70,1,64,16.0,0.15,0.02,0.6,0.2,6,7,11
130,1.5,1.0,0.0,5,70,26,1,23,7.0,0.1,0.0,0.2,0.1,6,5,1
150,4.5,2.5,0.1,15,80,26,1,22,7.0,0.1,0.0,0.2,0.1,6,0,1
130,3.5,1.0,0.0,0,60,23,2,18,6.0,0.06,0.0,0.2,0.2,6,7,1
190,2,1.0,0.0,5,110,37,1,32,11.0,0.15,0.0,0.3,0.2,6,9,16
230,7,3.5,0.2,20,120,37,1,32,10.0,0.15,0.0,0.3,0.2,6,0,16
200,6,1.5,0.0,0,95,32,2,25,9.0,0.1,0.0,0.3,0.3,6,7,16
240,2.5,1.5,0.0,5,140,48,2,41,14.0,0.2,0.0,0.4,0.25,6,3,19
290,9,5.0,0.2,25,160,47,2,41,14.0,0.2,0.02,0.4,0.25,6,0,19
250,7,2.0,0.0,0,125,41,3,32,12.0,0.15,0.0,0.4,0.4,6,7,19
320,3,2.0,0.0,10,180,63,2,55,18.0,0.25,0.0,0.5,0.3,6,11,21
380,11,6.0,0.3,35,200,63,2,54,17.0,0.25,0.02,0.5,0.3,6,0,21
330,9,2.5,0.0,0,160,55,4,44,15.0,0.15,0.0,0.5,0.5,6,7,21
140,0,0.0,0.0,0,10,35,0,33,0.0,0.0,0.0,0.0,0.0,6,4,0
210,0,0.0,0.0,0,15,53,0,49,0.0,0.0,0.0,0.0,0.0,6,8,0
280,0,0.0,0.0,0,20,70,0,65,0.0,0.0,0.0,0.0,0.0,6,2,0
360,0,0.0,0.0,0,25,89,0,83,0.0,0.0,0.0,0.0,0.0,6,10,0
0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,4,34
0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,8,34
0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,2,34
0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,10,34
100,0.1,0.1,0.0,0,50,22,0,21,4.0,0.06,0.0,0.1,0.0,8,5,25
120,2,1.0,0.1,10,55,22,0,21,4.0,0.06,0.0,0.1,0.0,8,0,25
110,1.5,0.2,0.0,0,45,20,0,18,3.0,0.04,0.0,0.1,0.06,8,7,25
160,0.2,0.1,0.0,5,80,34,0,32,6.0,0.1,0.0,0.2,0.02,8,9,28
190,3.5,1.5,0.1,15,90,34,0,32,6.0,0.1,0.0,0.2,0.02,8,0,28
